index,class
520,Field recording
519,Radio
518,Television
517,Vibration
516,Throbbing
515,Pink noise
514,White noise
513,Cacophony
512,Sidetone
511,Distortion
510,Mains hum
509,Static
508,Environmental noise
507,Noise
506,Echo
505,Reverberation
504,"Outside, rural or natural"
503,"Outside, urban or manmade"
502,"Inside, public space"
501,"Inside, large room or hall"
500,"Inside, small room"
499,Pulse
498,Sound effect
497,Chirp tone
496,Harmonic
495,Sine wave
494,Silence
493,Crunch
492,Boing
491,Zing
490,Hum
489,"Jingle, tinkle"
488,Plop
487,Rumble
486,Clickety-clack
485,Clicking
484,Sizzle
483,Clatter
482,Whir
481,Rustle
480,Creak
479,Squeal
478,Clang
477,Ding
476,Ping
475,"Beep, bleep"
474,Tearing
473,"Crumpling, crinkling"
472,Crushing
471,Roll
470,Rub
469,Scrape
468,Scratch
467,Flap
466,Whip
465,Bouncing
464,Breaking
463,"Smash, crash"
462,"Whack, thwack"
461,"Slap, smack"
460,Bang
459,Basketball bounce
458,Chorus effect
457,Effects unit
456,Electronic tuner
455,Thunk
454,"Thump, thud"
453,"Whoosh, swoosh, swish"
452,Arrow
451,Sonar
450,Boiling
449,Stir
448,Pump (liquid)
447,Spray
446,Fill (with liquid)
445,Gush
444,"Trickle, dribble"
443,Pour
442,Drip
441,Squish
440,Slosh
439,"Splash, splatter"
438,Liquid
437,Shatter
436,"Chink, clink"
435,Glass
434,Crack
433,Splinter
432,Chop
431,Wood
430,Boom
429,Eruption
428,"Burst, pop"
427,Firecracker
426,Fireworks
425,Cap gun
424,Artillery fire
423,Fusillade
422,Machine gun
421,"Gunshot, gunfire"
420,Explosion
419,Drill
418,Power tool
417,Sanding
416,Filing (rasp)
415,Sawing
414,Jackhammer
413,Hammer
412,Tools
411,Single-lens reflex camera
410,Camera
409,Printer
408,Cash register
407,Air conditioning
406,Mechanical fan
405,Sewing machine
404,Pulleys
403,Gears
402,Tick-tock
401,Tick
400,Clock
399,"Ratchet, pawl"
398,Mechanisms
397,Steam whistle
396,Whistle
395,Foghorn
394,Fire alarm
393,"Smoke detector, smoke alarm"
392,Buzzer
391,Civil defense siren
390,Siren
389,Alarm clock
388,Busy signal
387,Dial tone
386,"Telephone dialing, DTMF"
385,Ringtone
384,Telephone bell ringing
383,Telephone
382,Alarm
381,Writing
380,Computer keyboard
379,Typewriter
378,Typing
377,Shuffling cards
376,"Electric shaver, electric razor"
375,Scissors
374,Coin (dropping)
373,Keys jangling
372,Zipper (clothing)
371,Vacuum cleaner
370,Electric toothbrush
369,Toothbrush
368,Toilet flush
367,Hair dryer
366,Bathtub (filling or washing)
365,Sink (filling or washing)
364,"Water tap, faucet"
363,Blender
362,Microwave oven
361,Frying (food)
360,Chopping (food)
359,"Cutlery, silverware"
358,"Dishes, pots, and pans"
357,Drawer open or close
356,Cupboard open or close
355,Squeak
354,Tap
353,Knock
352,Slam
351,Sliding door
350,Ding-dong
349,Doorbell
348,Door
347,"Accelerating, revving, vroom"
346,Idling
345,Engine starting
344,Engine knocking
343,Heavy engine (low frequency)
342,Medium engine (mid frequency)
341,Chainsaw
340,Lawn mower
339,"Dental drill, dentist's drill"
338,Light engine (high frequency)
337,Engine
336,Skateboard
335,Bicycle
334,"Fixed-wing aircraft, airplane"
333,Helicopter
332,"Propeller, airscrew"
331,Jet engine
330,Aircraft engine
329,Aircraft
328,"Subway, metro, underground"
327,Train wheels squealing
326,"Railroad car, train wagon"
325,Train horn
324,Train whistle
323,Train
322,Rail transport
321,"Traffic noise, roadway noise"
320,Motorcycle
319,"Fire engine, fire truck (siren)"
318,Ambulance (siren)
317,Police car (siren)
316,Emergency vehicle
315,Bus
314,"Ice cream truck, ice cream van"
313,Reversing beeps
312,"Air horn, truck horn"
311,Air brake
310,Truck
309,"Race car, auto racing"
308,Car passing by
307,Tire squeal
306,Skidding
305,"Power windows, electric windows"
304,Car alarm
303,Toot
302,"Vehicle horn, car horn, honking"
301,Car
300,Motor vehicle (road)
299,Ship
298,"Motorboat, speedboat"
297,"Rowboat, canoe, kayak"
296,"Sailboat, sailing ship"
295,"Boat, Water vehicle"
294,Vehicle
293,Crackle
292,Fire
291,Gurgling
290,Steam
289,"Waves, surf"
288,Ocean
287,Waterfall
286,Stream
285,Rain on surface
284,Raindrop
283,Rain
282,Water
281,Thunder
280,Thunderstorm
279,Wind noise (microphone)
278,Rustling leaves
277,Wind
276,Scary music
275,Angry music
274,Exciting music
273,Tender music
272,Sad music
